state,total_medicaid_enrollees,total_viii_group_enrollees,total_viii_group_newly_eligible_enrollees,total_viii_group_not_newly_eligible_enrollees,updated_year,updated_month,enrollment_year,enrollment_month,notes
Wisconsin,1193933,,,,2018,8,2017,3,
Oklahoma,680615,,,,2018,8,2017,3,
Tennessee,1604666,,,,2018,8,2017,5,
"N. Mariana Islands",15472,,,,2018,8,2017,7,
"N. Mariana Islands",15472,,,,2018,8,2017,9,
"N. Mariana Islands",15472,,,,2018,8,2017,4,
Washington,1841923,613437,599345,14092,2018,8,2017,5,
Michigan,2430616,681501,620220,61281,2019,12,2017,11,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Utah,309206,,,,2018,8,2017,1,
Connecticut,900673,229608,206864,22744,2018,8,2017,3,
Louisiana,1639527,461812,461812,0,2019,12,2017,11,"Louisiana is expanding its Medicaid program by adopting the VIII Group on July 1, 2016."
Ohio,3068416,686173,647819,38354,2018,8,2017,7,
Maryland,1193578,295352,295352,0,2018,8,2017,1,
Nevada,592748,212028,212028,0,2019,12,2017,11,
Ohio,3075729,706671,653122,53549,2018,8,2017,5,
"N. Mariana Islands",15472,,,,2018,8,2017,5,
Hawaii,331277,118079,22105,95974,2018,8,2017,6,
Arizona,1935994,429571,112208,317363,2018,8,2017,6,
"Virgin Islands",59508,39840,,39840,2018,8,2017,2,"Virgin Islands expanded its Mediciad program by adopting the VIII Group on June 1, 2015."
Vermont,186472,60234,0,60234,2018,8,2017,2,
Montana,219430,66948,66948,0,2018,8,2017,1,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
"West Virginia",554467,175994,175994,0,2018,8,2017,4,
"District Of Columbia",259769,109190,68227,40963,2018,8,2017,7,
Virginia,1031514,,,,2018,8,2017,8,
Nevada,594751,211805,211805,0,2019,12,2017,10,
Arizona,1920684,426429,111174,315255,2018,8,2017,9,
Mississippi,708992,,,,2018,8,2017,7,
Utah,302453,,,,2018,8,2017,8,
Michigan,2429766,676476,615416,61060,2019,12,2017,10,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Indiana,1338954,446003,319995,126008,2018,8,2017,9,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Arkansas,935173,307739,300381,7358,2018,8,2017,6,
"New Mexico",908484,268515,268515,0,2018,8,2017,4,
"North Carolina",2087218,,,,2018,8,2017,6,
Alaska,180254,33492,33381,111,2018,8,2017,1,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Wyoming,62613,,,,2018,8,2017,5,
"New Jersey",1622457,536638,536638,0,2018,8,2017,9,
"Puerto Rico",1245787,379369,,379369,2018,8,2017,3,
"North Carolina",2091145,,,,2018,8,2017,2,
California,11934494,3798240,3798240,0,2018,8,2017,1,
Arkansas,940798,321675,314080,7595,2018,8,2017,4,
Arizona,1936160,430958,113019,317939,2019,12,2017,11,
"Dist. Of Col.",263058,112725,70903,41822,2019,12,2017,11,
Ohio,3051717,682266,644977,37289,2018,8,2017,8,
"N. Mariana Islands",15472,,,,2018,8,2017,6,
Kansas,378765,,,,2018,8,2017,7,
Ohio,3069539,716751,653890,62861,2018,8,2017,1,
Maryland,1220041,309040,309040,0,2019,12,2017,11,
"South Carolina",1213907,,,,2018,8,2017,9,
"New York",6126936,1915571,295393,1620178,2019,12,2017,10,
Montana,239770,80228,80228,0,2018,8,2017,4,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Montana,250605,91498,91498,0,2019,12,2017,12,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
"Virgin Islands",23492,9363,,9363,2019,12,2017,12,"Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
Virginia,1011555,,,,2018,8,2017,1,
Virginia,1023532,,,,2018,8,2017,5,
Utah,307856,,,,2018,8,2017,2,
Kansas,378916,,,,2018,8,2017,6,
Arkansas,935981,320669,312833,7836,2018,8,2017,3,
Arkansas,936199,305607,305284,323,2019,12,2017,10,
"Puerto Rico",1247119,376428,,376428,2019,12,2017,12,
"Virgin Islands",23294,4010,,4010,2018,8,2017,3,"Virgin Islands expanded its Mediciad program by adopting the VIII Group on June 1, 2015."
California,11703887,3799896,3799896,0,2018,8,2017,5,
Arizona,1939912,430795,112408,318387,2018,8,2017,7,
"New Jersey",1717039,578949,578949,0,2018,8,2017,2,
Missouri,978261,,,,2018,8,2017,7,
"South Carolina",1259031,,,,2019,12,2017,12,
Iowa,590334,150346,138607,11739,2018,8,2017,8,
Delaware,211123,62358,10426,51932,2019,12,2017,11,
Alabama,1019760,,,,2018,8,2017,3,
Nevada,592480,211736,211736,0,2018,8,2017,8,
Iowa,591614,150585,138657,11928,2019,12,2017,10,
Arizona,1948232,432082,111960,320122,2018,8,2017,2,
Washington,1834491,609257,595392,13865,2018,8,2017,6,
Pennsylvania,2716032,784649,744117,40532,2019,12,2017,10,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Pennsylvania,2853193,800902,758244,42658,2018,8,2017,3,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Connecticut,889083,228247,199598,28649,2018,8,2017,6,
