state,total_medicaid_enrollees,total_viii_group_enrollees,total_viii_group_newly_eligible_enrollees,total_viii_group_not_newly_eligible_enrollees,updated_year,updated_month,enrollment_year,enrollment_month,notes
Texas,4332544,,,,2017,9,2016,2,
Totals,76273101,14705753,11289756,3415997,2017,9,2016,4,
Massachusetts,1794501,373615,,373615,2017,9,2016,5,
"American Samoa",40517,,,,2017,9,2016,9,
"N. Mariana Islands",15472,,,,2018,8,2016,11,
Kansas,396207,,,,2018,8,2016,12,
"Rhode Island",295526,65749,65749,0,2018,8,2016,12,
Alaska,151673,17840,17840,,2017,9,2016,2,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
"New Hampshire",189727,52355,52139,216,2017,9,2016,6,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Illinois,2939202,682313,652460,29853,2017,9,2016,4,
"N. Mariana Islands",17000,,,,2017,9,2016,3,
Idaho,311423,,,,2017,9,2016,9,
Oregon,1061387,524695,444627,80068,2017,9,2016,7,
"New Jersey",1702020,560344,560344,,2017,9,2016,1,
"North Dakota",91835,20928,19957,971,2017,9,2016,2,"Awaiting state reporting/enrollment reasonableness review in progress"
"North Carolina",2021700,,,,2017,9,2016,1,
"New Jersey",1699308,563959,563959,,2017,9,2016,8,
Guam,36087,3033,,3033,2017,9,2016,2,
Ohio,3065181,715301,651802,63499,2018,8,2016,12,
"Rhode Island",286518,61239,61239,,2017,9,2016,8,
Iowa,593285,148783,137509,11274,2018,8,2016,12,
Nebraska,237133,,,,2017,9,2016,4,
Massachusetts,1832443,384776,,384776,2017,9,2016,7,
Utah,311090,,,,2018,8,2016,10,
Kentucky,1306565,457435,457435,,2017,9,2016,9,
"New Jersey",1694016,559844,559844,,2017,9,2016,9,
Colorado,1341398,449144,446857,2287,2018,8,2016,11,
Illinois,2915389,681528,648149,33379,2017,9,2016,8,
Louisiana,1608887,360197,360197,0,2018,8,2016,11,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Texas,4357047,,,,2018,8,2016,11,
Arizona,1894781,425979,113122,312857,2017,9,2016,4,
"N. Mariana Islands",17000,,,,2017,9,2016,6,
Alaska,162203,25257,25257,,2017,9,2016,9,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Alabama,1037037,,,,2017,9,2016,7,
"Rhode Island",286457,62225,62225,0,2018,8,2016,10,
Missouri,975580,,,,2017,9,2016,5,
Minnesota,1246032,222897,222303,594,2017,9,2016,1,
Iowa,599175,150047,138944,11103,2018,8,2016,10,
