state,total_medicaid_enrollees,total_viii_group_enrollees,total_viii_group_newly_eligible_enrollees,total_viii_group_not_newly_eligible_enrollees,updated_year,updated_month,enrollment_year,enrollment_month,notes
"Amer. Samoa",28183,,,,2020,2,2018,10,
Georgia,1941288,,,,2020,2,2018,8,
"Amer. Samoa",27898,,,,2020,2,2018,9,
Ohio,2919452,590989,590699,290,2020,2,2018,9,
Wyoming,57513,,,,2020,2,2018,9,
Vermont,174201,57473,0,57473,2020,2,2018,9,
"Puerto Rico",1241794,411936,,411936,2020,2,2018,9,
"New Hampshire",186728,55024,54727,297,2020,2,2018,9,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
"Virgin Islands",25474,11347,,11347,2020,2,2018,9,"Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
"New Jersey",1674135,555514,555514,0,2020,2,2018,9,
"North Dakota",91096,19872,18885,987,2020,2,2018,9,
Wisconsin,1181756,,,,2020,2,2018,9,
Pennsylvania,2855345,770564,731789,38775,2020,2,2018,9,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Virginia,1073040,0,0,0,2020,2,2018,9,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Tennessee,1496795,,,,2020,2,2018,9,
"New Mexico",826594,248307,248307,0,2020,2,2018,9,
"South Carolina",1262242,,,,2020,2,2018,9,
"West Virginia",534034,163554,163554,0,2020,2,2018,9,
Oregon,947809,451491,375958,75533,2020,2,2018,9,
Texas,4254778,,,,2020,2,2018,9,
Washington,1759640,561298,547730,13568,2020,2,2018,9,
"New York",6150250,1915271,299091,1616180,2020,2,2018,9,
Iowa,604187,167984,153533,14451,2020,2,2018,9,
Guam,36437,4151,,4151,2020,2,2018,11,
Alaska,206277,48272,48270,2,2020,2,2018,9,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Michigan,2420714,687460,633017,54443,2020,2,2018,12,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
"South Carolina",1264623,,,,2020,2,2018,11,
Alabama,1025250,,,,2020,2,2018,9,
Arkansas,915127,280923,280441,482,2020,2,2018,7,
Alabama,1030845,,,,2020,2,2018,10,
Pennsylvania,2889531,787158,747021,40137,2020,2,2018,7,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Nevada,594711,212434,212434,0,2020,2,2018,11,
Totals,74770615,15151153,11945738,3205415,2020,2,2018,12,
"Dist. Of Col.",261071,110308,68937,41371,2020,2,2018,7,
Alaska,206870,50050,50046,4,2020,2,2018,12,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
California,12875160,3790254,3790254,0,2020,2,2018,10,
Colorado,1267068,398485,391400,7085,2020,2,2018,12,
Missouri,929322,,,,2020,2,2018,9,
"Rhode Island",309924,69330,69330,0,2020,2,2018,8,
Mississippi,678243,,,,2020,2,2018,8,
Florida,3878529,,,,2020,2,2018,10,
Totals,75799027,15335170,12058478,3275692,2020,2,2018,10,
Kentucky,1324040,464074,464074,0,2020,2,2018,7,
"North Carolina",2179965,,,,2020,2,2018,7,
Montana,254940,97832,97832,0,2020,2,2018,12,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Michigan,2434780,686125,626607,59518,2020,2,2018,7,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Oklahoma,640095,,,,2020,2,2018,12,
"Puerto Rico",1217207,402604,,402604,2020,2,2018,10,
Michigan,2428592,684432,626588,57844,2020,2,2018,10,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Virginia,1070855,0,0,0,2020,2,2018,7,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
"North Dakota",92554,20430,19429,1001,2020,2,2018,10,
Minnesota,1097796,202437,201489,948,2020,2,2018,10,
Massachusetts,1742631,346875,0,346875,2020,2,2018,9,
Washington,1757941,560323,546598,13725,2020,2,2018,10,
Idaho,303522,,,,2020,2,2018,10,
Totals,76353875,15448246,12137627,3310619,2020,2,2018,7,
"West Virginia",528207,161508,161508,0,2020,2,2018,11,
Indiana,1320972,302840,302840,0,2020,2,2018,8,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Utah,296817,,,,2020,2,2018,8,
Georgia,1945609,,,,2020,2,2018,12,
Montana,260463,98630,98630,0,2020,2,2018,7,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
"Rhode Island",308695,69511,69511,0,2020,2,2018,12,
"South Dakota",105275,,,,2020,2,2018,7,
Florida,3723585,,,,2020,2,2018,9,
Louisiana,1654528,494332,494332,0,2020,2,2018,10,"Louisiana is expanding its Medicaid program by adopting the VIII Group on July 1, 2016."
Tennessee,1512716,,,,2020,2,2018,10,
"North Carolina",2181656,,,,2020,2,2018,11,
"New York",6158642,1921610,300259,1621351,2020,2,2018,8,
Ohio,2858429,569651,569360,291,2020,2,2018,12,
Alabama,1029480,,,,2020,2,2018,11,
Maine,250778,0,0,0,2020,2,2018,11,"Maine expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
"N. Mariana Islands",16334,,,,2020,2,2018,10,
"Virgin Islands",27284,12497,,12497,2020,2,2018,12,"Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
Louisiana,1646050,486291,486291,0,2020,2,2018,8,"Louisiana is expanding its Medicaid program by adopting the VIII Group on July 1, 2016."
Washington,1766725,566372,552157,14215,2020,2,2018,8,
