State,"Total Medicaid Enrollees","Total VIII Group Enrollees","Total VIII Group Newly Eligible Enrollees","Total VIII Group Not Newly Eligible Enrollees","Updated Year","Updated Month","Enrollment Year","Enrollment Month",Notes
"Alabama ","1,247,431 ",N/A,N/A,N/A,2023,8,2022,1,
"Alaska ","249,589 ","70,118 ","70,117 ","1 ",2023,8,2022,1,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
"Amer. Samoa ","31,434 ",N/A,N/A,N/A,2023,8,2022,1,
"Arizona ","2,288,355 ","653,855 ","190,216 ","463,639 ",2023,8,2022,1,
"Arkansas ","999,654 ","335,019 ","326,301 ","8,718 ",2023,8,2022,1,
"California ","14,175,338 ","4,670,721 ","4,641,315 ","29,406 ",2023,8,2022,1,
"Colorado ","1,577,582 ","575,567 ","565,111 ","10,456 ",2023,8,2022,1,
"Connecticut ","1,107,731 ","351,917 ","321,907 ","30,010 ",2023,8,2022,1,
"Delaware ","268,133 ","86,639 ","13,694 ","72,945 ",2023,8,2022,1,
"Dist. Of Col. ","278,209 ","127,520 ","83,528 ","43,992 ",2023,8,2022,1,
"Florida ","5,132,717 ",N/A,N/A,N/A,2023,8,2022,1,
"Georgia ","2,433,530 ",N/A,N/A,N/A,2023,8,2022,1,
"Guam ","38,185 ","4,699 ",N/A,"4,699 ",2023,8,2022,1,
"Hawaii ","441,516 ","172,452 ","30,181 ","142,271 ",2023,8,2022,1,
"Idaho ","439,186 ","115,054 ","115,054 ","0 ",2023,8,2022,1,"Idaho expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
"Illinois ","3,229,543 ","932,595 ","832,506 ","100,089 ",2023,8,2022,1,
"Indiana ","1,917,303 ","542,049 ","542,049 ","0 ",2023,8,2022,1,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
"Iowa ","745,285 ","244,752 ","194,335 ","50,417 ",2023,8,2022,1,
"Kansas ","438,829 ",N/A,N/A,N/A,2023,8,2022,1,
"Kentucky ","1,499,074 ","596,307 ","596,307 ","0 ",2023,8,2022,1,
"Louisiana ","1,948,068 ","719,576 ","719,576 ","0 ",2023,8,2022,1,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
"Maine ","363,049 ","95,178 ","75,543 ","19,635 ",2023,8,2022,1,"Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
"Maryland ","1,502,415 ","427,462 ","427,462 ","0 ",2023,8,2022,1,
"Massachusetts ","2,045,637 ","457,908 ","0 ","457,908 ",2023,8,2022,1,
"Michigan ","2,920,543 ","980,949 ","917,761 ","63,188 ",2023,8,2022,1,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
"Minnesota ","1,305,166 ","280,513 ","280,513 ","0 ",2023,8,2022,1,
"Mississippi ","799,530 ",N/A,N/A,N/A,2023,8,2022,1,
"Missouri ","1,173,683 ","62,297 ","62,297 ","0 ",2023,8,2022,1,"Missouri expanded its Medicaid program by adopting the VIII Group on October 1, 2021."
"Montana ","291,940 ","114,075 ","114,075 ","0 ",2023,8,2022,1,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
"N. Mariana Islands ","15,277 ",N/A,N/A,N/A,2023,8,2022,1,
"Nebraska ","359,428 ","63,244 ","61,981 ","1,263 ",2023,8,2022,1,
"Nevada ","787,941 ","336,218 ","336,218 ","0 ",2023,8,2022,1,
"New Hampshire ","229,033 ","87,038 ","86,576 ","462 ",2023,8,2022,1,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014."
"New Jersey ","1,980,438 ","724,522 ","724,522 ","0 ",2023,8,2022,1,
"New Mexico ","962,420 ","293,036 ","293,036 ","0 ",2023,8,2022,1,
"New York ","7,373,698 ","2,458,989 ","430,720 ","2,028,269 ",2023,8,2022,1,
"North Carolina ","2,696,597 ",N/A,N/A,N/A,2023,8,2022,1,
"North Dakota ","120,330 ","31,110 ","29,670 ","1,440 ",2023,8,2022,1,
"Ohio ","3,405,969 ","811,846 ","811,593 ","253 ",2023,8,2022,1,
"Oklahoma ","1,096,359 ","249,887 ","249,887 ","0 ",2023,8,2022,1,"Oklahoma expanded its Medicaid program by adopting the VIII Group on July 1, 2021."
"Oregon ","1,226,587 ","674,983 ","577,326 ","97,657 ",2023,8,2022,1,
"Pennsylvania ","3,441,751 ","1,089,848 ","1,031,168 ","58,680 ",2023,8,2022,1,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
"Puerto Rico ","1,443,582 ","644,250 ",N/A,"644,250 ",2023,8,2022,1,
"Rhode Island ","340,350 ","93,294 ","93,294 ","0 ",2023,8,2022,1,
"South Carolina ","1,494,263 ",N/A,N/A,N/A,2023,8,2022,1,
"South Dakota ","126,731 ",N/A,N/A,N/A,2023,8,2022,1,"South Dakota expanded its Medicaid program by adopting the VIII Group on July 1, 2023."
"Tennessee ","1,778,063 ",N/A,N/A,N/A,2023,8,2022,1,
"Texas ","5,539,151 ",N/A,N/A,N/A,2023,8,2022,1,
"Utah ","470,056 ","115,736 ","114,793 ","943 ",2023,8,2022,1,"Utah expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
"Vermont ","197,045 ","72,847 ","0 ","72,847 ",2023,8,2022,1,
"Virgin Islands ","35,746 ","17,486 ",N/A,"17,486 ",2023,8,2022,1,"The Virgin Islands expanded its Medicaid program by adopting the VIII Group on June 1, 2015."
"Virginia ","1,787,972 ","621,800 ","621,800 ","0 ",2023,8,2022,1,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
"Washington ","2,071,283 ","782,357 ","766,694 ","15,663 ",2023,8,2022,1,
"West Virginia ","626,945 ","223,596 ","223,596 ","0 ",2023,8,2022,1,
"Wisconsin ","1,480,897 ",N/A,N/A,N/A,2023,8,2022,1,
"Wyoming ","77,966 ",N/A,N/A,N/A,2023,8,2022,1,
Totals,"92,054,533 ","22,009,309 ","17,572,722 ","4,436,587 ",2023,8,2022,1,
"Alabama ","1,253,832 ",N/A,N/A,N/A,2023,8,2022,2,
"Alaska ","250,318 ","70,300 ","70,299 ","1 ",2023,8,2022,2,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
"Amer. Samoa ","31,434 ",N/A,N/A,N/A,2023,8,2022,2,
"Arizona ","2,303,751 ","659,451 ","189,763 ","469,688 ",2023,8,2022,2,
"Arkansas ","1,006,945 ","336,369 ","327,329 ","9,040 ",2023,8,2022,2,
"California ","14,201,974 ","4,695,668 ","4,665,953 ","29,715 ",2023,8,2022,2,
"Colorado ","1,587,104 ","579,507 ","569,024 ","10,483 ",2023,8,2022,2,
"Connecticut ","1,109,565 ","353,718 ","323,540 ","30,178 ",2023,8,2022,2,
"Delaware ","270,485 ","87,889 ","13,913 ","73,976 ",2023,8,2022,2,
"Dist. Of Col. ","279,368 ","128,172 ","84,038 ","44,134 ",2023,8,2022,2,
"Florida ","5,160,756 ",N/A,N/A,N/A,2023,8,2022,2,
"Georgia ","2,443,395 ",N/A,N/A,N/A,2023,8,2022,2,
"Guam ","38,170 ","4,756 ","0 ","4,756 ",2023,8,2022,2,
"Hawaii ","444,053 ","174,360 ","30,365 ","143,995 ",2023,8,2022,2,
"Idaho ","437,084 ","114,661 ","114,661 ","0 ",2023,8,2022,2,"Idaho expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
"Illinois ","3,240,219 ","937,473 ","837,824 ","99,649 ",2023,8,2022,2,
"Indiana ","1,923,961 ","546,253 ","546,253 ","0 ",2023,8,2022,2,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
"Iowa ","749,503 ","246,023 ","193,999 ","52,024 ",2023,8,2022,2,
"Kansas ","441,578 ",N/A,N/A,N/A,2023,8,2022,2,
"Kentucky ","1,502,108 ","597,011 ","597,011 ","0 ",2023,8,2022,2,
"Louisiana ","1,950,934 ","723,298 ","723,298 ","0 ",2023,8,2022,2,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
"Maine ","365,493 ","96,509 ","76,637 ","19,872 ",2023,8,2022,2,"Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
"Maryland ","1,510,417 ","431,564 ","431,564 ","0 ",2023,8,2022,2,
"Massachusetts ","2,045,568 ","458,039 ","0 ","458,039 ",2023,8,2022,2,
"Michigan ","2,928,200 ","985,951 ","922,639 ","63,312 ",2023,8,2022,2,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
"Minnesota ","1,307,396 ","282,533 ","282,533 ","0 ",2023,8,2022,2,
"Mississippi ","802,295 ",N/A,N/A,N/A,2023,8,2022,2,
"Missouri ","1,183,840 ","70,909 ","70,909 ","0 ",2023,8,2022,2,"Missouri expanded its Medicaid program by adopting the VIII Group on October 1, 2021."
"Montana ","292,762 ","114,348 ","114,348 ","0 ",2023,8,2022,2,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
"N. Mariana Islands ","15,277 ",N/A,N/A,N/A,2023,8,2022,2,
"Nebraska ","361,906 ","64,693 ","63,376 ","1,317 ",2023,8,2022,2,
