state,total_medicaid_enrollees,total_viii_group_enrollees,total_viii_group_newly_eligible_enrollees,total_viii_group_not_newly_eligible_enrollees,updated_year,updated_month,enrollment_year,enrollment_month,notes
"Amer. Samoa",28183,,,,2020,2,2019,1,
Kansas,369499,,,,2020,2,2019,1,
"N. Mariana Islands",15963,,,,2020,2,2019,2,
Totals,75153292,15448306,12201118,3247188,2020,2,2019,2,
"Amer. Samoa",37829,,,,2020,2,2019,4,
Massachusetts,1442299,334027,0,334027,2020,2,2019,4,
Maryland,1229390,310031,310031,0,2020,2,2019,6,
California,12693315,3768859,3762176,6683,2020,2,2019,4,
Utah,287277,,,,2020,2,2019,3,
Maine,257551,8562,8562,0,2020,2,2019,2,"Maine expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Georgia,1962735,,,,2020,2,2019,6,
Colorado,1255515,389270,382110,7160,2020,2,2019,2,
Michigan,2385506,671648,625194,46454,2020,2,2019,6,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Florida,3813445,,,,2020,2,2019,4,
"Dist. Of Col.",260350,107478,66313,41165,2020,2,2019,5,
Tennessee,1540713,,,,2020,2,2019,1,
Utah,288842,,,,2020,2,2019,2,
Massachusetts,1488230,336784,0,336784,2020,2,2019,3,
"Virgin Islands",28835,13376,,13376,2020,2,2019,5,"Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
Kentucky,1290860,450566,450566,0,2020,2,2019,2,
"North Dakota",91090,20369,19419,950,2020,2,2019,4,
Pennsylvania,2859247,771932,732808,39124,2020,2,2019,5,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Wisconsin,1182357,,,,2020,2,2019,6,
Pennsylvania,2859499,770742,731892,38850,2020,2,2019,2,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Nevada,589856,211069,211069,0,2020,2,2019,1,
"Rhode Island",301535,66641,66641,0,2020,2,2019,4,
"Puerto Rico",1240935,424284,,424284,2020,2,2019,4,
"Rhode Island",300970,66686,66686,0,2020,2,2019,6,
Illinois,2566110,655276,547918,107358,2020,2,2019,6,
Wyoming,54597,,,,2020,2,2019,3,
Arizona,1874674,421967,106458,315509,2020,2,2019,1,
California,12611814,3741920,3732198,9722,2020,2,2019,5,
Idaho,293665,,,,2020,2,2019,1,
Kansas,350174,,,,2020,2,2019,5,
Arizona,1876939,426199,107490,318709,2020,2,2019,3,
Indiana,1310771,310202,310202,0,2020,2,2019,3,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
"New York",6130507,1900628,301942,1598686,2020,2,2019,3,
"North Dakota",89590,19908,18981,927,2020,2,2019,5,
Texas,4152831,,,,2020,2,2019,4,
Hawaii,313334,112080,20671,91409,2020,2,2019,1,
Nebraska,245121,,,,2020,2,2019,4,
Texas,4126343,,,,2020,2,2019,6,
Illinois,2611653,669227,561633,107594,2020,2,2019,4,
Minnesota,1084410,197789,197019,770,2020,2,2019,1,
Arizona,1861477,423482,105668,317814,2020,2,2019,6,
Maryland,1227887,310074,310074,0,2020,2,2019,5,
Iowa,605338,172015,157117,14898,2020,2,2019,5,
Oregon,958743,461893,381390,80503,2020,2,2019,3,
Alabama,1033902,,,,2020,2,2019,2,
Arkansas,825029,247947,246996,951,2020,2,2019,3,
Vermont,168055,55333,0,55333,2020,2,2019,5,
Nevada,587603,209747,209747,0,2020,2,2019,3,
"New Jersey",1639444,545379,545379,0,2020,2,2019,2,
"South Dakota",104369,,,,2020,2,2019,1,
Kansas,341484,,,,2020,2,2019,6,
"New York",6067467,1881383,301405,1579978,2020,2,2019,6,
Delaware,219338,62893,9842,53051,2020,2,2019,1,
"South Carolina",1260731,,,,2020,2,2019,5,
"North Carolina",2162490,,,,2020,2,2019,3,
"New Mexico",834204,258061,258061,0,2020,2,2019,4,
Oregon,967100,466729,386673,80056,2020,2,2019,1,
Minnesota,1067388,193550,192684,866,2020,2,2019,2,
