state,total_medicaid_enrollees,total_viii_group_enrollees,total_viii_group_newly_eligible_enrollees,total_viii_group_not_newly_eligible_enrollees,updated_year,updated_month,enrollment_year,enrollment_month,notes
"N. Mariana Islands",17000,,,,2017,7,2015,3,
"N. Mariana Islands",17000,,,,2017,7,2015,4,
"American Samoa",40517,,,,2017,7,2015,11,
Minnesota,1186498,208492,207683,809,2017,7,2015,12,
Ohio,3068477,631196,584452,46744,2017,7,2015,6,
Alaska,138100,12066,12066,0,2017,7,2015,12,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Totals,75799663,13256356,9761547,3494809,2017,7,2015,6,
Alabama,1050432,,,,2017,7,2015,4,
Montana,134213,,,,2017,7,2015,7,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
"South Carolina",1192750,,,,2017,7,2015,3,
Virginia,989083,,,,2017,7,2015,12,
Massachusetts,1725768,346929,0,346929,2017,7,2015,6,
"West Virginia",553559,171170,171170,,2017,7,2015,9,
Arkansas,903112,246590,223417,23173,2017,7,2015,9,
Pennsylvania,2372501,306180,264709,41471,2017,7,2015,2,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Massachusetts,1773349,358437,,358437,2017,7,2015,8,
"South Carolina",1167774,,,,2017,7,2015,10,
"New York",6112572,1644807,239542,1405265,2017,7,2015,3,
"District of Columbia",249382,59533,59533,0,2017,7,2015,4,
Louisiana,1437394,,,,2017,7,2015,7,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Hawaii,299219,93038,34326,58712,2017,7,2015,4,
Illinois,2931849,671930,646041,25889,2017,7,2015,12,
"New Jersey",1718754,575968,575968,0,2017,7,2015,8,"Awaiting state reporting/enrollment reasonableness review in progress"
Maryland,1114597,219523,219523,0,2017,7,2015,5,
"Rhode Island",273839,57522,57522,0,2017,7,2015,5,
Indiana,1212160,318272,188508,129764,2017,7,2015,9,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
"North Carolina",1963388,,,,2017,7,2015,2,
Louisiana,1458967,,,,2017,7,2015,11,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Illinois,2947648,660844,637519,23325,2017,7,2015,8,
Georgia,1860839,,,,2017,7,2015,10,
